"국가별","시점","항목",데이터
"한국","2000","간호사",140288
"한국","2000","- 천명당 간호사",3.0
"한국","2001","의사",65715
"한국","2001","- 천명당 의사",1.4
"한국","2001","치과의사",14729
"한국","2001","- 천명당 치과의사",0.3
"한국","2001","간호사",151351
"한국","2001","- 천명당 간호사",3.2
"한국","2002","의사",70923
"한국","2002","- 천명당 의사",1.5
"한국","2002","치과의사",15626
"한국","2002","- 천명당 치과의사",0.3
"한국","2002","간호사",163203
"한국","2002","- 천명당 간호사",3.4
"한국","2003","의사",75045
"한국","2003","- 천명당 의사",1.6
"한국","2003","치과의사",16033
"한국","2003","- 천명당 치과의사",0.3
"한국","2003","간호사",169555
"한국","2003","- 천명당 간호사",3.5
"한국","2004","의사",75236
"한국","2004","- 천명당 의사",1.6
"한국","2004","약사",29876
"한국","2004","- 천명당 약사",0.6
"한국","2004","치과의사",17085
"한국","2004","- 천명당 치과의사",0.4
"한국","2004","간호사",182612
"한국","2004","- 천명당 간호사",3.8
"한국","2005","의사",78342
"한국","2005","- 천명당 의사",1.6
"한국","2005","약사",30600
"한국","2005","- 천명당 약사",0.6
"한국","2005","치과의사",17771
"한국","2005","- 천명당 치과의사",0.4
"한국","2005","간호사",185195
"한국","2005","- 천명당 간호사",3.8
"한국","2006","의사",81666
"한국","2006","- 천명당 의사",1.7
"한국","2006","약사",31237
"한국","2006","- 천명당 약사",0.6
"한국","2006","치과의사",18515
"한국","2006","- 천명당 치과의사",0.4
"한국","2006","간호사",192753
"한국","2006","- 천명당 간호사",4.0
"한국","2007","의사",84464
"한국","2007","- 천명당 의사",1.7
"한국","2007","약사",31265
"한국","2007","- 천명당 약사",0.6
"한국","2007","치과의사",19092
"한국","2007","- 천명당 치과의사",0.4
"한국","2007","간호사",201492
"한국","2007","- 천명당 간호사",4.1
"한국","2008","의사",90532
"한국","2008","- 천명당 의사",1.9
"한국","2008","약사",31635
"한국","2008","- 천명당 약사",0.6
"한국","2008","치과의사",19751
"한국","2008","- 천명당 치과의사",0.4
"한국","2008","간호사",212138
"한국","2008","- 천명당 간호사",4.3
"한국","2009","의사",94672
"한국","2009","- 천명당 의사",1.9
"한국","2009","약사",31994
"한국","2009","- 천명당 약사",0.7
"한국","2009","치과의사",20415
"한국","2009","- 천명당 치과의사",0.4
"한국","2009","간호사",219675
"한국","2009","- 천명당 간호사",4.5
"한국","2010","의사",98293
"한국","2010","- 천명당 의사",2.0
"한국","2010","약사",32152
"한국","2010","- 천명당 약사",0.7
"한국","2010","치과의사",20936
"한국","2010","- 천명당 치과의사",0.4
"한국","2010","간호사",228614
"한국","2010","- 천명당 간호사",4.6
"한국","2011","의사",101370
"한국","2011","- 천명당 의사",2.0
"한국","2011","약사",33643
"한국","2011","- 천명당 약사",0.7
"한국","2011","치과의사",21410
"한국","2011","- 천명당 치과의사",0.4
"한국","2011","간호사",235116
"한국","2011","- 천명당 간호사",4.7
"한국","2012","의사",104114
"한국","2012","- 천명당 의사",2.1
"한국","2012","약사",32560
"한국","2012","- 천명당 약사",0.7
"한국","2012","치과의사",21888
"한국","2012","- 천명당 치과의사",0.4
"한국","2012","간호사",242249
"한국","2012","- 천명당 간호사",4.8
"한국","2013","의사",108909
"한국","2013","- 천명당 의사",2.2
"한국","2013","약사",32537
"한국","2013","- 천명당 약사",0.7
"한국","2013","치과의사",22482
"한국","2013","- 천명당 치과의사",0.5
"한국","2013","간호사",262001
"한국","2013","- 천명당 간호사",5.2
"한국","2014","의사",111694
"한국","2014","- 천명당 의사",2.2
"한국","2014","약사",32645
"한국","2014","- 천명당 약사",0.6
"한국","2014","치과의사",22952
"한국","2014","- 천명당 치과의사",0.5
"한국","2014","간호사",282846
"한국","2014","- 천명당 간호사",5.6
"한국","2015","의사",114322
"한국","2015","- 천명당 의사",2.2
"한국","2015","약사",33206
"한국","2015","- 천명당 약사",0.7
"한국","2015","치과의사",23540
"한국","2015","- 천명당 치과의사",0.5
"한국","2015","간호사",303133
"한국","2015","- 천명당 간호사",5.9
"한국","2016","의사",117450
"한국","2016","- 천명당 의사",2.3
"한국","2016","약사",33946
"한국","2016","- 천명당 약사",0.7
"한국","2016","치과의사",24150
"한국","2016","- 천명당 치과의사",0.5
"한국","2016","간호사",349679
"한국","2016","- 천명당 간호사",6.8
"한국","2017","의사",120630
"한국","2017","- 천명당 의사",2.4
"한국","2017","약사",36980
"한국","2017","- 천명당 약사",0.7
"한국","2017","치과의사",25300
"한국","2017","- 천명당 치과의사",0.5
"한국","2017","간호사",356880
"한국","2017","- 천명당 간호사",7.0
"한국","2018","의사",123230
"한국","2018","- 천명당 의사",2.4
"한국","2018","약사",37837
"한국","2018","- 천명당 약사",0.7
"한국","2018","치과의사",25792
"한국","2018","- 천명당 치과의사",0.5
"한국","2018","간호사",373601
"한국","2018","- 천명당 간호사",7.2
"한국","2019","의사",127258
"한국","2019","- 천명당 의사",2.5
"한국","2019","약사",38941
"한국","2019","- 천명당 약사",0.8
"한국","2019","치과의사",26486
"한국","2019","- 천명당 치과의사",0.5
"한국","2019","간호사",410694
"한국","2019","- 천명당 간호사",7.9
"중국","1998","의사",1513975
"중국","1998","- 천명당 의사",1.2
"중국","1998","간호사",1218836
"중국","1998","- 천명당 간호사",1.0
"중국","1999","의사",1561584
"중국","1999","- 천명당 의사",1.2
"중국","1999","간호사",1244844
"중국","1999","- 천명당 간호사",1.0
"중국","2000","의사",1603266
"중국","2000","- 천명당 의사",1.2
"중국","2000","간호사",1266838
"중국","2000","- 천명당 간호사",1.0
"중국","2001","의사",1637337
"중국","2001","- 천명당 의사",1.3
"중국","2001","간호사",1286938
"중국","2001","- 천명당 간호사",1.0
"중국","2002","의사",1463573
"중국","2002","- 천명당 의사",1.1
"중국","2002","간호사",1246545
"중국","2002","- 천명당 간호사",1.0
"중국","2003","의사",1534046
"중국","2003","- 천명당 의사",1.2
"중국","2003","간호사",1265959
"중국","2003","- 천명당 간호사",1.0
"중국","2004","의사",1582442
"중국","2004","- 천명당 의사",1.2
"중국","2004","간호사",1308433
"중국","2004","- 천명당 간호사",1.0
"중국","2005","의사",1622684
"중국","2005","- 천명당 의사",1.2
"중국","2005","간호사",1349589
"중국","2005","- 천명당 간호사",1.0
"중국","2006","의사",1678031
"중국","2006","- 천명당 의사",1.3
"중국","2006","간호사",1426339
"중국","2006","- 천명당 간호사",1.1
"중국","2007","의사",1715460
"중국","2007","- 천명당 의사",1.3
"중국","2007","간호사",1558822
"중국","2007","- 천명당 간호사",1.2
"중국","2008","의사",1791881
"중국","2008","- 천명당 의사",1.3
"중국","2008","간호사",1678091
"중국","2008","- 천명당 간호사",1.2
"중국","2009","의사",1905436
"중국","2009","- 천명당 의사",1.4
"중국","2009","간호사",1854818
"중국","2009","- 천명당 간호사",1.4
"중국","2010","의사",1972840
"중국","2010","- 천명당 의사",1.4
"중국","2010","간호사",2048071
"중국","2010","- 천명당 간호사",1.5
"중국","2011","의사",2020154
"중국","2011","- 천명당 의사",1.5
"중국","2011","간호사",2244020
"중국","2011","- 천명당 간호사",1.6
"중국","2012","의사",2138836
"중국","2012","- 천명당 의사",1.6
"중국","2012","간호사",2496599
"중국","2012","- 천명당 간호사",1.8
"중국","2013","의사",2285794
"중국","2013","- 천명당 의사",1.6
"중국","2013","간호사",2783121
"중국","2013","- 천명당 간호사",2.0
"중국","2014","의사",2374917
"중국","2014","- 천명당 의사",1.7
"중국","2014","간호사",3004144
"중국","2014","- 천명당 간호사",2.2
"중국","2015","의사",2508408
"중국","2015","- 천명당 의사",1.8
"중국","2015","간호사",3241469
"중국","2015","- 천명당 간호사",2.3
"중국","2016","의사",2651398
"중국","2016","- 천명당 의사",1.9
"중국","2016","간호사",3507166
"중국","2016","- 천명당 간호사",2.5
"중국","2017","의사",2828999
"중국","2017","- 천명당 의사",2.0
"중국","2017","간호사",3804021
"중국","2017","- 천명당 간호사",2.7
"중국","2018","의사",3010376
"중국","2018","- 천명당 의사",2.1
"중국","2018","간호사",4098630
"중국","2018","- 천명당 간호사",2.9
"중국","2019","의사",3210515
"중국","2019","- 천명당 의사",2.2
"중국","2019","간호사",4445047
"중국","2019","- 천명당 간호사",3.1
"인도","1998","의사",514786
"인도","1998","- 천명당 의사",0.5
"인도","1999","의사",535590
"인도","1999","- 천명당 의사",0.5
"인도","1999","간호사",737280
"인도","1999","- 천명당 간호사",0.7
"인도","2000","의사",555147
"인도","2000","- 천명당 의사",0.5
"인도","2000","간호사",776355
"인도","2000","- 천명당 간호사",0.7
"인도","2001","의사",575647
"인도","2001","- 천명당 의사",0.5
"인도","2001","간호사",805827
"인도","2001","- 천명당 간호사",0.8
"인도","2002","의사",607075
"인도","2002","- 천명당 의사",0.6
"인도","2003","의사",625423
"인도","2003","- 천명당 의사",0.6
"인도","2003","간호사",839862
"인도","2003","- 천명당 간호사",0.8
"인도","2004","의사",643964
"인도","2004","- 천명당 의사",0.6
"인도","2004","간호사",865135
"인도","2004","- 천명당 간호사",0.8
"인도","2005","의사",675375
"인도","2005","- 천명당 의사",0.6
"인도","2006","의사",700699
"인도","2006","- 천명당 의사",0.6
"인도","2006","간호사",908962
"인도","2006","- 천명당 간호사",0.8
"인도","2007","의사",731439
"인도","2007","- 천명당 의사",0.6
"인도","2007","간호사",930528
"인도","2007","- 천명당 간호사",0.8
"인도","2008","의사",761429
"인도","2008","- 천명당 의사",0.6
"인도","2008","간호사",971574
"인도","2008","- 천명당 간호사",0.8
"인도","2009","의사",793705
"인도","2009","- 천명당 의사",0.7
"인도","2009","간호사",1043363
"인도","2009","- 천명당 간호사",0.9
"인도","2010","의사",846472
"인도","2010","- 천명당 의사",0.7
"인도","2010","간호사",1073638
"인도","2010","- 천명당 간호사",0.9
"인도","2011","의사",922177
"인도","2011","- 천명당 의사",0.7
"인도","2011","간호사",1238874
"인도","2011","- 천명당 간호사",1.0
"인도","2012","의사",883812
"인도","2012","- 천명당 의사",0.7
"인도","2012","간호사",1406006
"인도","2012","- 천명당 간호사",1.1
"인도","2013","의사",918303
"인도","2013","- 천명당 의사",0.7
"인도","2013","간호사",1562186
"인도","2013","- 천명당 간호사",1.2
"인도","2014","의사",938861
"인도","2014","- 천명당 의사",0.7
"인도","2014","간호사",1780006
"인도","2014","- 천명당 간호사",1.4
"인도","2015","의사",960233
"인도","2015","- 천명당 의사",0.7
"인도","2015","간호사",1900837
"인도","2015","- 천명당 간호사",1.5
"인도","2016","의사",1005281
"인도","2016","- 천명당 의사",0.8
"인도","2016","간호사",1980536
"인도","2016","- 천명당 간호사",1.5
"인도","2017","의사",1041395
"인도","2017","- 천명당 의사",0.8
"인도","2017","간호사",2048979
"인도","2017","- 천명당 간호사",1.5
"인도","2018","의사",1154686
"인도","2018","- 천명당 의사",0.9
"인도","2018","간호사",2336204
"인도","2018","- 천명당 간호사",1.7
"인도","2019","의사",1268172
"인도","2019","- 천명당 의사",0.9
"인도","2019","간호사",3263633
"인도","2019","- 천명당 간호사",2.4
"인도네시아","2003","의사",29499
"인도네시아","2003","- 천명당 의사",0.1
"인도네시아","2003","간호사",125621
"인도네시아","2003","- 천명당 간호사",0.6
"인도네시아","2009","의사",62876
"인도네시아","2009","- 천명당 의사",0.3
"인도네시아","2010","의사",58769
"인도네시아","2010","- 천명당 의사",0.3
"인도네시아","2012","의사",76523
"인도네시아","2012","- 천명당 의사",0.3
"인도네시아","2013","의사",78587
"인도네시아","2013","- 천명당 의사",0.3
"인도네시아","2015","의사",70735
"인도네시아","2015","- 천명당 의사",0.3
"인도네시아","2015","간호사",223910
"인도네시아","2015","- 천명당 간호사",0.9
"인도네시아","2017","의사",99703
"인도네시아","2017","- 천명당 의사",0.4
"인도네시아","2017","간호사",345276
"인도네시아","2017","- 천명당 간호사",1.3
"인도네시아","2018","의사",114271
"인도네시아","2018","- 천명당 의사",0.4
"인도네시아","2019","의사",125862
"인도네시아","2019","- 천명당 의사",0.5
"인도네시아","2019","간호사",578078
"인도네시아","2019","- 천명당 간호사",2.2
"이스라엘","1998","의사",22067
"이스라엘","1998","- 천명당 의사",3.7
"이스라엘","1998","약사",3367
"이스라엘","1998","- 천명당 약사",0.6
"이스라엘","1998","치과의사",5800
"이스라엘","1998","- 천명당 치과의사",1.0
"이스라엘","1998","간호사",31900
"이스라엘","1998","- 천명당 간호사",5.3
"이스라엘","1999","의사",22167
"이스라엘","1999","- 천명당 의사",3.6
"이스라엘","1999","약사",3700
"이스라엘","1999","- 천명당 약사",0.6
"이스라엘","1999","치과의사",5667
"이스라엘","1999","- 천명당 치과의사",0.9
"이스라엘","1999","간호사",33267
"이스라엘","1999","- 천명당 간호사",5.4
"이스라엘","2000","의사",21667
"이스라엘","2000","- 천명당 의사",3.5
"이스라엘","2000","약사",4000
"이스라엘","2000","- 천명당 약사",0.6
"이스라엘","2000","치과의사",5000
"이스라엘","2000","- 천명당 치과의사",0.8
"이스라엘","2000","간호사",34166
"이스라엘","2000","- 천명당 간호사",5.4
"이스라엘","2001","의사",21033
"이스라엘","2001","- 천명당 의사",3.3
"이스라엘","2001","약사",4200
"이스라엘","2001","- 천명당 약사",0.7
"이스라엘","2001","치과의사",5133
"이스라엘","2001","- 천명당 치과의사",0.8
"이스라엘","2001","간호사",35366
"이스라엘","2001","- 천명당 간호사",5.5
"이스라엘","2002","의사",21533
"이스라엘","2002","- 천명당 의사",3.3
"이스라엘","2002","약사",4100
"이스라엘","2002","- 천명당 약사",0.6
"이스라엘","2002","치과의사",5667
"이스라엘","2002","- 천명당 치과의사",0.9
"이스라엘","2002","간호사",35534
"이스라엘","2002","- 천명당 간호사",5.4
"이스라엘","2003","의사",22500
"이스라엘","2003","- 천명당 의사",3.4
"이스라엘","2003","약사",3967
"이스라엘","2003","- 천명당 약사",0.6
"이스라엘","2003","치과의사",6167
"이스라엘","2003","- 천명당 치과의사",0.9
"이스라엘","2003","간호사",35300
"이스라엘","2003","- 천명당 간호사",5.3
"이스라엘","2004","의사",22767
"이스라엘","2004","- 천명당 의사",3.3
"이스라엘","2004","약사",4267
"이스라엘","2004","- 천명당 약사",0.6
"이스라엘","2004","치과의사",5933
"이스라엘","2004","- 천명당 치과의사",0.9
"이스라엘","2004","간호사",35100
"이스라엘","2004","- 천명당 간호사",5.2
"이스라엘","2005","의사",22300
"이스라엘","2005","- 천명당 의사",3.2
"이스라엘","2005","약사",4500
"이스라엘","2005","- 천명당 약사",0.7
"이스라엘","2005","치과의사",5633
"이스라엘","2005","- 천명당 치과의사",0.8
"이스라엘","2005","간호사",36267
"이스라엘","2005","- 천명당 간호사",5.2
"이스라엘","2006","의사",21317
"이스라엘","2006","- 천명당 의사",3.0
"이스라엘","2006","약사",4433
"이스라엘","2006","- 천명당 약사",0.6
"이스라엘","2006","치과의사",5567
"이스라엘","2006","- 천명당 치과의사",0.8
"이스라엘","2006","간호사",36800
"이스라엘","2006","- 천명당 간호사",5.2
"이스라엘","2007","의사",21490
"이스라엘","2007","- 천명당 의사",3.0
"이스라엘","2007","약사",4300
"이스라엘","2007","- 천명당 약사",0.6
"이스라엘","2007","치과의사",5700
"이스라엘","2007","- 천명당 치과의사",0.8
"이스라엘","2007","간호사",36666
"이스라엘","2007","- 천명당 간호사",5.1
"이스라엘","2008","의사",21958
"이스라엘","2008","- 천명당 의사",3.0
"이스라엘","2008","약사",4633
"이스라엘","2008","- 천명당 약사",0.6
"이스라엘","2008","치과의사",5867
"이스라엘","2008","- 천명당 치과의사",0.8
"이스라엘","2008","간호사",35700
"이스라엘","2008","- 천명당 간호사",4.9
"이스라엘","2009","의사",22431
"이스라엘","2009","- 천명당 의사",3.0
"이스라엘","2009","약사",5033
"이스라엘","2009","- 천명당 약사",0.7
"이스라엘","2009","치과의사",6100
"이스라엘","2009","- 천명당 치과의사",0.8
"이스라엘","2009","간호사",35433
"이스라엘","2009","- 천명당 간호사",4.7
"이스라엘","2010","의사",22928
"이스라엘","2010","- 천명당 의사",3.0
"이스라엘","2010","약사",5733
"이스라엘","2010","- 천명당 약사",0.8
"이스라엘","2010","치과의사",6367
"이스라엘","2010","- 천명당 치과의사",0.8
"이스라엘","2010","간호사",35900
"이스라엘","2010","- 천명당 간호사",4.7
"이스라엘","2011","의사",23308
"이스라엘","2011","- 천명당 의사",3.0
"이스라엘","2011","약사",5800
"이스라엘","2011","- 천명당 약사",0.8
"이스라엘","2011","치과의사",5867
"이스라엘","2011","- 천명당 치과의사",0.8
