"국가별","시점","항목",데이터
"멕시코","2019","- 천명당 간호사",2.9
"미국","1998","의사",621736
"미국","1998","- 천명당 의사",2.3
"미국","1999","의사",625334
"미국","1999","- 천명당 의사",2.2
"미국","2000","의사",647430
"미국","2000","- 천명당 의사",2.3
"미국","2001","의사",668939
"미국","2001","- 천명당 의사",2.4
"미국","2002","의사",674824
"미국","2002","- 천명당 의사",2.4
"미국","2003","의사",691873
"미국","2003","- 천명당 의사",2.4
"미국","2004","의사",700287
"미국","2004","- 천명당 의사",2.4
"미국","2005","의사",718473
"미국","2005","- 천명당 의사",2.4
"미국","2006","의사",723118
"미국","2006","- 천명당 의사",2.4
"미국","2007","의사",732234
"미국","2007","- 천명당 의사",2.4
"미국","2008","의사",740867
"미국","2008","- 천명당 의사",2.4
"미국","2009","의사",749566
"미국","2009","- 천명당 의사",2.4
"미국","2010","의사",752572
"미국","2010","- 천명당 의사",2.4
"미국","2011","의사",767782
"미국","2011","- 천명당 의사",2.5
"미국","2012","의사",784633
"미국","2012","- 천명당 의사",2.5
"미국","2013","의사",809845
"미국","2013","- 천명당 의사",2.6
"미국","2014","의사",820251
"미국","2014","- 천명당 의사",2.6
"미국","2015","의사",827261
"미국","2015","- 천명당 의사",2.6
"미국","2016","의사",835987
"미국","2016","- 천명당 의사",2.6
"미국","2017","의사",849126
"미국","2017","- 천명당 의사",2.6
"미국","2018","의사",851641
"미국","2018","- 천명당 의사",2.6
"미국","2019","의사",866316
"미국","2019","- 천명당 의사",2.6
"남아메리카","1998","의사",
"남아메리카","1998","- 천명당 의사",
"남아메리카","1998","약사",
"남아메리카","1998","- 천명당 약사",
"남아메리카","1998","치과의사",
"남아메리카","1998","- 천명당 치과의사",
"남아메리카","1998","간호사",
"남아메리카","1998","- 천명당 간호사",
"남아메리카","1999","의사",
"남아메리카","1999","- 천명당 의사",
"남아메리카","1999","약사",
"남아메리카","1999","- 천명당 약사",
"남아메리카","1999","치과의사",
"남아메리카","1999","- 천명당 치과의사",
"남아메리카","1999","간호사",
"남아메리카","1999","- 천명당 간호사",
"남아메리카","2000","의사",
"남아메리카","2000","- 천명당 의사",
"남아메리카","2000","약사",
"남아메리카","2000","- 천명당 약사",
"남아메리카","2000","치과의사",
"남아메리카","2000","- 천명당 치과의사",
"남아메리카","2000","간호사",
"남아메리카","2000","- 천명당 간호사",
"남아메리카","2001","의사",
"남아메리카","2001","- 천명당 의사",
"남아메리카","2001","약사",
"남아메리카","2001","- 천명당 약사",
"남아메리카","2001","치과의사",
"남아메리카","2001","- 천명당 치과의사",
"남아메리카","2001","간호사",
"남아메리카","2001","- 천명당 간호사",
"남아메리카","2002","의사",
"남아메리카","2002","- 천명당 의사",
"남아메리카","2002","약사",
"남아메리카","2002","- 천명당 약사",
"남아메리카","2002","치과의사",
"남아메리카","2002","- 천명당 치과의사",
"남아메리카","2002","간호사",
"남아메리카","2002","- 천명당 간호사",
"남아메리카","2003","의사",
"남아메리카","2003","- 천명당 의사",
"남아메리카","2003","약사",
"남아메리카","2003","- 천명당 약사",
"남아메리카","2003","치과의사",
"남아메리카","2003","- 천명당 치과의사",
"남아메리카","2003","간호사",
"남아메리카","2003","- 천명당 간호사",
"남아메리카","2004","의사",
"남아메리카","2004","- 천명당 의사",
"남아메리카","2004","약사",
"남아메리카","2004","- 천명당 약사",
"남아메리카","2004","치과의사",
"남아메리카","2004","- 천명당 치과의사",
"남아메리카","2004","간호사",
"남아메리카","2004","- 천명당 간호사",
"남아메리카","2005","의사",
"남아메리카","2005","- 천명당 의사",
"남아메리카","2005","약사",
"남아메리카","2005","- 천명당 약사",
"남아메리카","2005","치과의사",
"남아메리카","2005","- 천명당 치과의사",
"남아메리카","2005","간호사",
"남아메리카","2005","- 천명당 간호사",
"남아메리카","2006","의사",
"남아메리카","2006","- 천명당 의사",
"남아메리카","2006","약사",
"남아메리카","2006","- 천명당 약사",
"남아메리카","2006","치과의사",
"남아메리카","2006","- 천명당 치과의사",
"남아메리카","2006","간호사",
"남아메리카","2006","- 천명당 간호사",
"남아메리카","2007","의사",
"남아메리카","2007","- 천명당 의사",
"남아메리카","2007","약사",
"남아메리카","2007","- 천명당 약사",
"남아메리카","2007","치과의사",
"남아메리카","2007","- 천명당 치과의사",
"남아메리카","2007","간호사",
"남아메리카","2007","- 천명당 간호사",
"남아메리카","2008","의사",
"남아메리카","2008","- 천명당 의사",
"남아메리카","2008","약사",
"남아메리카","2008","- 천명당 약사",
"남아메리카","2008","치과의사",
"남아메리카","2008","- 천명당 치과의사",
"남아메리카","2008","간호사",
"남아메리카","2008","- 천명당 간호사",
"남아메리카","2009","의사",
"남아메리카","2009","- 천명당 의사",
"남아메리카","2009","약사",
"남아메리카","2009","- 천명당 약사",
"남아메리카","2009","치과의사",
"남아메리카","2009","- 천명당 치과의사",
"남아메리카","2009","간호사",
"남아메리카","2009","- 천명당 간호사",
"남아메리카","2010","의사",
"남아메리카","2010","- 천명당 의사",
"남아메리카","2010","약사",
"남아메리카","2010","- 천명당 약사",
"남아메리카","2010","치과의사",
"남아메리카","2010","- 천명당 치과의사",
"남아메리카","2010","간호사",
"남아메리카","2010","- 천명당 간호사",
"남아메리카","2011","의사",
"남아메리카","2011","- 천명당 의사",
"남아메리카","2011","약사",
"남아메리카","2011","- 천명당 약사",
"남아메리카","2011","치과의사",
"남아메리카","2011","- 천명당 치과의사",
"남아메리카","2011","간호사",
"남아메리카","2011","- 천명당 간호사",
"남아메리카","2012","의사",
"남아메리카","2012","- 천명당 의사",
"남아메리카","2012","약사",
"남아메리카","2012","- 천명당 약사",
"남아메리카","2012","치과의사",
"남아메리카","2012","- 천명당 치과의사",
"남아메리카","2012","간호사",
"남아메리카","2012","- 천명당 간호사",
"남아메리카","2013","의사",
"남아메리카","2013","- 천명당 의사",
"남아메리카","2013","약사",
"남아메리카","2013","- 천명당 약사",
"남아메리카","2013","치과의사",
"남아메리카","2013","- 천명당 치과의사",
"남아메리카","2013","간호사",
"남아메리카","2013","- 천명당 간호사",
"남아메리카","2014","의사",
"남아메리카","2014","- 천명당 의사",
"남아메리카","2014","약사",
"남아메리카","2014","- 천명당 약사",
"남아메리카","2014","치과의사",
"남아메리카","2014","- 천명당 치과의사",
"남아메리카","2014","간호사",
"남아메리카","2014","- 천명당 간호사",
"남아메리카","2015","의사",
"남아메리카","2015","- 천명당 의사",
"남아메리카","2015","약사",
"남아메리카","2015","- 천명당 약사",
"남아메리카","2015","치과의사",
"남아메리카","2015","- 천명당 치과의사",
"남아메리카","2015","간호사",
"남아메리카","2015","- 천명당 간호사",
"남아메리카","2016","의사",
"남아메리카","2016","- 천명당 의사",
"남아메리카","2016","약사",
"남아메리카","2016","- 천명당 약사",
"남아메리카","2016","치과의사",
"남아메리카","2016","- 천명당 치과의사",
"남아메리카","2016","간호사",
"남아메리카","2016","- 천명당 간호사",
"남아메리카","2017","의사",
"남아메리카","2017","- 천명당 의사",
"남아메리카","2017","약사",
"남아메리카","2017","- 천명당 약사",
"남아메리카","2017","치과의사",
"남아메리카","2017","- 천명당 치과의사",
"남아메리카","2017","간호사",
"남아메리카","2017","- 천명당 간호사",
"남아메리카","2018","의사",
"남아메리카","2018","- 천명당 의사",
"남아메리카","2018","약사",
"남아메리카","2018","- 천명당 약사",
"남아메리카","2018","치과의사",
"남아메리카","2018","- 천명당 치과의사",
"남아메리카","2018","간호사",
"남아메리카","2018","- 천명당 간호사",
"남아메리카","2019","의사",
"남아메리카","2019","- 천명당 의사",
"남아메리카","2019","약사",
"남아메리카","2019","- 천명당 약사",
"남아메리카","2019","치과의사",
"남아메리카","2019","- 천명당 치과의사",
"남아메리카","2019","간호사",
"남아메리카","2019","- 천명당 간호사",
"남아메리카","2020","의사",
"남아메리카","2020","- 천명당 의사",
"남아메리카","2020","약사",
"남아메리카","2020","- 천명당 약사",
"남아메리카","2020","치과의사",
"남아메리카","2020","- 천명당 치과의사",
"남아메리카","2020","간호사",
"남아메리카","2020","- 천명당 간호사",
"브라질","1998","의사",216632
"브라질","1998","- 천명당 의사",1.3
"브라질","1998","간호사",386158
"브라질","1998","- 천명당 간호사",2.3
"브라질","1999","의사",236668
"브라질","1999","- 천명당 의사",1.4
"브라질","1999","간호사",438004
"브라질","1999","- 천명당 간호사",2.6
"브라질","2000","의사",236737
"브라질","2000","- 천명당 의사",1.4
"브라질","2000","간호사",659111
"브라질","2000","- 천명당 간호사",3.8
"브라질","2001","의사",246219
"브라질","2001","- 천명당 의사",1.4
"브라질","2001","간호사",529765
"브라질","2001","- 천명당 간호사",3.0
"브라질","2002","의사",254604
"브라질","2002","- 천명당 의사",1.4
"브라질","2002","간호사",606291
"브라질","2002","- 천명당 간호사",3.4
"브라질","2003","의사",268169
"브라질","2003","- 천명당 의사",1.5
"브라질","2003","간호사",665342
"브라질","2003","- 천명당 간호사",3.7
"브라질","2004","의사",292014
"브라질","2004","- 천명당 의사",1.6
"브라질","2004","간호사",686089
"브라질","2004","- 천명당 간호사",3.8
"브라질","2005","의사",310138
"브라질","2005","- 천명당 의사",1.7
"브라질","2006","의사",320013
"브라질","2006","- 천명당 의사",1.7
"브라질","2007","의사",329041
"브라질","2007","- 천명당 의사",1.7
"브라질","2008","의사",341849
"브라질","2008","- 천명당 의사",1.8
"브라질","2009","의사",352318
"브라질","2009","- 천명당 의사",1.8
"브라질","2010","의사",355006
"브라질","2010","- 천명당 의사",1.8
"브라질","2011","의사",365231
"브라질","2011","- 천명당 의사",1.9
"브라질","2013","의사",378354
"브라질","2013","- 천명당 의사",1.9
"브라질","2013","간호사",1520533
"브라질","2013","- 천명당 간호사",7.6
"브라질","2014","간호사",1781878
"브라질","2014","- 천명당 간호사",8.8
"브라질","2015","간호사",1862357
"브라질","2015","- 천명당 간호사",9.2
"브라질","2016","간호사",1927830
"브라질","2016","- 천명당 간호사",9.4
"브라질","2017","의사",450009
"브라질","2017","- 천명당 의사",2.2
"브라질","2017","간호사",2017900
"브라질","2017","- 천명당 간호사",9.8
"브라질","2018","간호사",2119620
"브라질","2018","- 천명당 간호사",10.2
"브라질","2019","의사",487659
"브라질","2019","- 천명당 의사",2.3
"브라질","2019","간호사",1561940
"브라질","2019","- 천명당 간호사",7.4
"유럽","1998","의사",
"유럽","1998","- 천명당 의사",
"유럽","1998","약사",
"유럽","1998","- 천명당 약사",
"유럽","1998","치과의사",
"유럽","1998","- 천명당 치과의사",
"유럽","1998","간호사",
"유럽","1998","- 천명당 간호사",
"유럽","1999","의사",
"유럽","1999","- 천명당 의사",
"유럽","1999","약사",
"유럽","1999","- 천명당 약사",
"유럽","1999","치과의사",
"유럽","1999","- 천명당 치과의사",
"유럽","1999","간호사",
"유럽","1999","- 천명당 간호사",
"유럽","2000","의사",
"유럽","2000","- 천명당 의사",
"유럽","2000","약사",
"유럽","2000","- 천명당 약사",
"유럽","2000","치과의사",
"유럽","2000","- 천명당 치과의사",
"유럽","2000","간호사",
"유럽","2000","- 천명당 간호사",
"유럽","2001","의사",
"유럽","2001","- 천명당 의사",
"유럽","2001","약사",
"유럽","2001","- 천명당 약사",
"유럽","2001","치과의사",
"유럽","2001","- 천명당 치과의사",
"유럽","2001","간호사",
"유럽","2001","- 천명당 간호사",
"유럽","2002","의사",
"유럽","2002","- 천명당 의사",
"유럽","2002","약사",
"유럽","2002","- 천명당 약사",
"유럽","2002","치과의사",
"유럽","2002","- 천명당 치과의사",
"유럽","2002","간호사",
"유럽","2002","- 천명당 간호사",
"유럽","2003","의사",
"유럽","2003","- 천명당 의사",
"유럽","2003","약사",
"유럽","2003","- 천명당 약사",
"유럽","2003","치과의사",
"유럽","2003","- 천명당 치과의사",
"유럽","2003","간호사",
"유럽","2003","- 천명당 간호사",
"유럽","2004","의사",
"유럽","2004","- 천명당 의사",
"유럽","2004","약사",
"유럽","2004","- 천명당 약사",
"유럽","2004","치과의사",
"유럽","2004","- 천명당 치과의사",
"유럽","2004","간호사",
"유럽","2004","- 천명당 간호사",
"유럽","2005","의사",
"유럽","2005","- 천명당 의사",
"유럽","2005","약사",
"유럽","2005","- 천명당 약사",
"유럽","2005","치과의사",
"유럽","2005","- 천명당 치과의사",
"유럽","2005","간호사",
"유럽","2005","- 천명당 간호사",
"유럽","2006","의사",
"유럽","2006","- 천명당 의사",
"유럽","2006","약사",
"유럽","2006","- 천명당 약사",
"유럽","2006","치과의사",
"유럽","2006","- 천명당 치과의사",
"유럽","2006","간호사",
"유럽","2006","- 천명당 간호사",
"유럽","2007","의사",
"유럽","2007","- 천명당 의사",
"유럽","2007","약사",
"유럽","2007","- 천명당 약사",
"유럽","2007","치과의사",
"유럽","2007","- 천명당 치과의사",
"유럽","2007","간호사",
"유럽","2007","- 천명당 간호사",
"유럽","2008","의사",
"유럽","2008","- 천명당 의사",
"유럽","2008","약사",
"유럽","2008","- 천명당 약사",
"유럽","2008","치과의사",
"유럽","2008","- 천명당 치과의사",
"유럽","2008","간호사",
"유럽","2008","- 천명당 간호사",
"유럽","2009","의사",
"유럽","2009","- 천명당 의사",
"유럽","2009","약사",
"유럽","2009","- 천명당 약사",
"유럽","2009","치과의사",
"유럽","2009","- 천명당 치과의사",
"유럽","2009","간호사",
"유럽","2009","- 천명당 간호사",
"유럽","2010","의사",
"유럽","2010","- 천명당 의사",
"유럽","2010","약사",
"유럽","2010","- 천명당 약사",
"유럽","2010","치과의사",
"유럽","2010","- 천명당 치과의사",
"유럽","2010","간호사",
"유럽","2010","- 천명당 간호사",
"유럽","2011","의사",
"유럽","2011","- 천명당 의사",
"유럽","2011","약사",
"유럽","2011","- 천명당 약사",
"유럽","2011","치과의사",
"유럽","2011","- 천명당 치과의사",
"유럽","2011","간호사",
"유럽","2011","- 천명당 간호사",
"유럽","2012","의사",
"유럽","2012","- 천명당 의사",
"유럽","2012","약사",
"유럽","2012","- 천명당 약사",
"유럽","2012","치과의사",
"유럽","2012","- 천명당 치과의사",
"유럽","2012","간호사",
"유럽","2012","- 천명당 간호사",
"유럽","2013","의사",
"유럽","2013","- 천명당 의사",
"유럽","2013","약사",
"유럽","2013","- 천명당 약사",
"유럽","2013","치과의사",
"유럽","2013","- 천명당 치과의사",
"유럽","2013","간호사",
"유럽","2013","- 천명당 간호사",
"유럽","2014","의사",
"유럽","2014","- 천명당 의사",
"유럽","2014","약사",
"유럽","2014","- 천명당 약사",
"유럽","2014","치과의사",
"유럽","2014","- 천명당 치과의사",
"유럽","2014","간호사",
"유럽","2014","- 천명당 간호사",
"유럽","2015","의사",
"유럽","2015","- 천명당 의사",
"유럽","2015","약사",
"유럽","2015","- 천명당 약사",
"유럽","2015","치과의사",
"유럽","2015","- 천명당 치과의사",
"유럽","2015","간호사",
"유럽","2015","- 천명당 간호사",
"유럽","2016","의사",
"유럽","2016","- 천명당 의사",
"유럽","2016","약사",
"유럽","2016","- 천명당 약사",
"유럽","2016","치과의사",
"유럽","2016","- 천명당 치과의사",
"유럽","2016","간호사",
"유럽","2016","- 천명당 간호사",
"유럽","2017","의사",
"유럽","2017","- 천명당 의사",
"유럽","2017","약사",
"유럽","2017","- 천명당 약사",
"유럽","2017","치과의사",
"유럽","2017","- 천명당 치과의사",
"유럽","2017","간호사",
"유럽","2017","- 천명당 간호사",
"유럽","2018","의사",
"유럽","2018","- 천명당 의사",
"유럽","2018","약사",
"유럽","2018","- 천명당 약사",
"유럽","2018","치과의사",
"유럽","2018","- 천명당 치과의사",
"유럽","2018","간호사",
"유럽","2018","- 천명당 간호사",
"유럽","2019","의사",
"유럽","2019","- 천명당 의사",
"유럽","2019","약사",
"유럽","2019","- 천명당 약사",
"유럽","2019","치과의사",
"유럽","2019","- 천명당 치과의사",
"유럽","2019","간호사",
"유럽","2019","- 천명당 간호사",
"유럽","2020","의사",
"유럽","2020","- 천명당 의사",
"유럽","2020","약사",
"유럽","2020","- 천명당 약사",
"유럽","2020","치과의사",
"유럽","2020","- 천명당 치과의사",
"유럽","2020","간호사",
"유럽","2020","- 천명당 간호사",
"오스트리아","1998","의사",30110
"오스트리아","1998","- 천명당 의사",3.8
"오스트리아","1998","약사",4337
"오스트리아","1998","- 천명당 약사",0.5
"오스트리아","1998","치과의사",3624
"오스트리아","1998","- 천명당 치과의사",0.5
"오스트리아","1998","간호사",42013
"오스트리아","1998","- 천명당 간호사",5.3
"오스트리아","1999","의사",30115
"오스트리아","1999","- 천명당 의사",3.8
"오스트리아","1999","약사",4439
"오스트리아","1999","- 천명당 약사",0.6
"오스트리아","1999","치과의사",3666
"오스트리아","1999","- 천명당 치과의사",0.5
"오스트리아","1999","간호사",43279
"오스트리아","1999","- 천명당 간호사",5.4
"오스트리아","2000","의사",30871
"오스트리아","2000","- 천명당 의사",3.9
"오스트리아","2000","약사",4532
"오스트리아","2000","- 천명당 약사",0.6
"오스트리아","2000","치과의사",3722
"오스트리아","2000","- 천명당 치과의사",0.5
"오스트리아","2000","간호사",44426
"오스트리아","2000","- 천명당 간호사",5.6
"오스트리아","2001","의사",31859
"오스트리아","2001","- 천명당 의사",4.0
"오스트리아","2001","약사",4581
"오스트리아","2001","- 천명당 약사",0.6
"오스트리아","2001","치과의사",3879
"오스트리아","2001","- 천명당 치과의사",0.5
"오스트리아","2001","간호사",44916
"오스트리아","2001","- 천명당 간호사",5.6
"오스트리아","2002","의사",32575
"오스트리아","2002","- 천명당 의사",4.0
"오스트리아","2002","약사",4704
"오스트리아","2002","- 천명당 약사",0.6
"오스트리아","2002","치과의사",3956
"오스트리아","2002","- 천명당 치과의사",0.5
"오스트리아","2002","간호사",45879
"오스트리아","2002","- 천명당 간호사",5.7
"오스트리아","2003","의사",33410
"오스트리아","2003","- 천명당 의사",4.1
"오스트리아","2003","약사",4869
"오스트리아","2003","- 천명당 약사",0.6
"오스트리아","2003","치과의사",4037
"오스트리아","2003","- 천명당 치과의사",0.5
"오스트리아","2003","간호사",46147
"오스트리아","2003","- 천명당 간호사",5.7
"오스트리아","2004","의사",34334
"오스트리아","2004","- 천명당 의사",4.2
"오스트리아","2004","약사",4997
"오스트리아","2004","- 천명당 약사",0.6
"오스트리아","2004","치과의사",4113
"오스트리아","2004","- 천명당 치과의사",0.5
"오스트리아","2004","간호사",48435
"오스트리아","2004","- 천명당 간호사",5.9
"오스트리아","2005","의사",35518
"오스트리아","2005","- 천명당 의사",4.3
"오스트리아","2005","약사",5076
"오스트리아","2005","- 천명당 약사",0.6
"오스트리아","2005","치과의사",4232
"오스트리아","2005","- 천명당 치과의사",0.5
"오스트리아","2005","간호사",49294
"오스트리아","2005","- 천명당 간호사",6.0
"오스트리아","2006","의사",36792
"오스트리아","2006","- 천명당 의사",4.5
"오스트리아","2006","약사",5192
"오스트리아","2006","- 천명당 약사",0.6
"오스트리아","2006","치과의사",4467
"오스트리아","2006","- 천명당 치과의사",0.5
"오스트리아","2006","간호사",50808
"오스트리아","2006","- 천명당 간호사",6.1
"오스트리아","2007","의사",37643
"오스트리아","2007","- 천명당 의사",4.5
"오스트리아","2007","약사",5263
"오스트리아","2007","- 천명당 약사",0.6
"오스트리아","2007","치과의사",4490
"오스트리아","2007","- 천명당 치과의사",0.5
"오스트리아","2007","간호사",51524
"오스트리아","2007","- 천명당 간호사",6.2
"오스트리아","2008","의사",38313
"오스트리아","2008","- 천명당 의사",4.6
"오스트리아","2008","약사",5326
"오스트리아","2008","- 천명당 약사",0.6
"오스트리아","2008","치과의사",4544
"오스트리아","2008","- 천명당 치과의사",0.6
"오스트리아","2008","간호사",52924
"오스트리아","2008","- 천명당 간호사",6.4
"오스트리아","2009","의사",39123
"오스트리아","2009","- 천명당 의사",4.7
"오스트리아","2009","약사",5452
"오스트리아","2009","- 천명당 약사",0.7
"오스트리아","2009","치과의사",4619
"오스트리아","2009","- 천명당 치과의사",0.6
"오스트리아","2009","간호사",54018
"오스트리아","2009","- 천명당 간호사",6.5
"오스트리아","2010","의사",40105
"오스트리아","2010","- 천명당 의사",4.8
"오스트리아","2010","약사",5579
"오스트리아","2010","- 천명당 약사",0.7
"오스트리아","2010","치과의사",4685
"오스트리아","2010","- 천명당 치과의사",0.6
"오스트리아","2010","간호사",54617
"오스트리아","2010","- 천명당 간호사",6.5
"오스트리아","2011","의사",40634
"오스트리아","2011","- 천명당 의사",4.8
"오스트리아","2011","약사",5700
"오스트리아","2011","- 천명당 약사",0.7
"오스트리아","2011","치과의사",4743
"오스트리아","2011","- 천명당 치과의사",0.6
"오스트리아","2011","간호사",55594
"오스트리아","2011","- 천명당 간호사",6.6
"오스트리아","2012","의사",41268
"오스트리아","2012","- 천명당 의사",4.9
"오스트리아","2012","약사",5823
"오스트리아","2012","- 천명당 약사",0.7
"오스트리아","2012","치과의사",4797
"오스트리아","2012","- 천명당 치과의사",0.6
"오스트리아","2012","간호사",56085
"오스트리아","2012","- 천명당 간호사",6.7
"오스트리아","2013","의사",42302
"오스트리아","2013","- 천명당 의사",5.0
"오스트리아","2013","약사",5918
"오스트리아","2013","- 천명당 약사",0.7
"오스트리아","2013","치과의사",4853
"오스트리아","2013","- 천명당 치과의사",0.6
"오스트리아","2013","간호사",56747
"오스트리아","2013","- 천명당 간호사",6.7
"오스트리아","2014","의사",43126
"오스트리아","2014","- 천명당 의사",5.1
"오스트리아","2014","약사",5999
"오스트리아","2014","- 천명당 약사",0.7
"오스트리아","2014","치과의사",4893
"오스트리아","2014","- 천명당 치과의사",0.6
"오스트리아","2014","간호사",58040
"오스트리아","2014","- 천명당 간호사",6.8
"오스트리아","2015","의사",44002
"오스트리아","2015","- 천명당 의사",5.1
"오스트리아","2015","약사",6104
"오스트리아","2015","- 천명당 약사",0.7
"오스트리아","2015","치과의사",4906
"오스트리아","2015","- 천명당 치과의사",0.6
"오스트리아","2015","간호사",58732
"오스트리아","2015","- 천명당 간호사",6.8
"오스트리아","2016","의사",44816
"오스트리아","2016","- 천명당 의사",5.1
"오스트리아","2016","약사",6194
"오스트리아","2016","- 천명당 약사",0.7
"오스트리아","2016","치과의사",4954
"오스트리아","2016","- 천명당 치과의사",0.6
"오스트리아","2016","간호사",59165
"오스트리아","2016","- 천명당 간호사",6.8
"오스트리아","2017","의사",45596
"오스트리아","2017","- 천명당 의사",5.2
"오스트리아","2017","약사",6246
"오스트리아","2017","- 천명당 약사",0.7
"오스트리아","2017","치과의사",5009
"오스트리아","2017","- 천명당 치과의사",0.6
"오스트리아","2017","간호사",60263
"오스트리아","2017","- 천명당 간호사",6.9
"오스트리아","2018","의사",46337
"오스트리아","2018","- 천명당 의사",5.2
"오스트리아","2018","약사",6349
"오스트리아","2018","- 천명당 약사",0.7
"오스트리아","2018","치과의사",5027
"오스트리아","2018","- 천명당 치과의사",0.6
"오스트리아","2018","간호사",60694
"오스트리아","2018","- 천명당 간호사",6.9
"오스트리아","2019","의사",47224
"오스트리아","2019","- 천명당 의사",5.3
"오스트리아","2019","약사",6479
"오스트리아","2019","- 천명당 약사",0.7
"오스트리아","2019","치과의사",5143
"오스트리아","2019","- 천명당 치과의사",0.6
"오스트리아","2019","간호사",92115
"오스트리아","2019","- 천명당 간호사",10.4
"오스트리아","2020","의사",47674
"오스트리아","2020","- 천명당 의사",5.4
"오스트리아","2020","약사",6516
"오스트리아","2020","- 천명당 약사",0.7
"벨기에","1998","의사",38109
"벨기에","1998","- 천명당 의사",3.7
"벨기에","1998","약사",10087
"벨기에","1998","- 천명당 약사",1.0
"벨기에","1998","치과의사",8240
"벨기에","1998","- 천명당 치과의사",0.8
"벨기에","1999","의사",28642
"벨기에","1999","- 천명당 의사",2.8
"벨기에","1999","약사",10437
"벨기에","1999","- 천명당 약사",1.0
"벨기에","1999","치과의사",8326
"벨기에","1999","- 천명당 치과의사",0.8
"벨기에","2000","의사",28999
"벨기에","2000","- 천명당 의사",2.8
"벨기에","2000","약사",10724
"벨기에","2000","- 천명당 약사",1.1
"벨기에","2000","치과의사",7659
"벨기에","2000","- 천명당 치과의사",0.8
"벨기에","2001","의사",29303
"벨기에","2001","- 천명당 의사",2.9
"벨기에","2001","약사",10939
"벨기에","2001","- 천명당 약사",1.1
"벨기에","2001","치과의사",7680
"벨기에","2001","- 천명당 치과의사",0.8
"벨기에","2002","의사",29537
"벨기에","2002","- 천명당 의사",2.9
"벨기에","2002","약사",11191
"벨기에","2002","- 천명당 약사",1.1
"벨기에","2002","치과의사",7685
"벨기에","2002","- 천명당 치과의사",0.7
"벨기에","2003","의사",29646
"벨기에","2003","- 천명당 의사",2.9
"벨기에","2003","약사",11394
"벨기에","2003","- 천명당 약사",1.1
"벨기에","2003","치과의사",7680
"벨기에","2003","- 천명당 치과의사",0.7
"벨기에","2004","의사",29891
"벨기에","2004","- 천명당 의사",2.9
"벨기에","2004","약사",11618
"벨기에","2004","- 천명당 약사",1.1
"벨기에","2004","치과의사",7712
"벨기에","2004","- 천명당 치과의사",0.7
"벨기에","2004","간호사",91644
"벨기에","2004","- 천명당 간호사",8.8
"벨기에","2005","의사",30081
"벨기에","2005","- 천명당 의사",2.9
"벨기에","2005","약사",11882
"벨기에","2005","- 천명당 약사",1.1
"벨기에","2005","치과의사",7694
"벨기에","2005","- 천명당 치과의사",0.7
"벨기에","2005","간호사",94401
"벨기에","2005","- 천명당 간호사",9.0
"벨기에","2006","의사",30440
"벨기에","2006","- 천명당 의사",2.9
"벨기에","2006","약사",12109
"벨기에","2006","- 천명당 약사",1.2
"벨기에","2006","치과의사",7748
"벨기에","2006","- 천명당 치과의사",0.7
"벨기에","2006","간호사",96232
"벨기에","2006","- 천명당 간호사",9.1
"벨기에","2007","의사",30868
"벨기에","2007","- 천명당 의사",2.9
"벨기에","2007","약사",12305
"벨기에","2007","- 천명당 약사",1.2
"벨기에","2007","치과의사",7677
"벨기에","2007","- 천명당 치과의사",0.7
"벨기에","2007","간호사",98137
"벨기에","2007","- 천명당 간호사",9.2
"벨기에","2008","의사",31281
"벨기에","2008","- 천명당 의사",2.9
"벨기에","2008","약사",12602
"벨기에","2008","- 천명당 약사",1.2
"벨기에","2008","치과의사",7663
"벨기에","2008","- 천명당 치과의사",0.7
"벨기에","2008","간호사",99805
"벨기에","2008","- 천명당 간호사",9.3
"벨기에","2009","의사",31578
"벨기에","2009","- 천명당 의사",2.9
"벨기에","2009","약사",12450
"벨기에","2009","- 천명당 약사",1.2
"벨기에","2009","치과의사",7655
"벨기에","2009","- 천명당 치과의사",0.7
"벨기에","2009","간호사",101743
"벨기에","2009","- 천명당 간호사",9.4
"벨기에","2010","의사",31815
"벨기에","2010","- 천명당 의사",2.9
"벨기에","2010","약사",12629
"벨기에","2010","- 천명당 약사",1.2
"벨기에","2010","치과의사",7675
"벨기에","2010","- 천명당 치과의사",0.7
"벨기에","2010","간호사",104513
"벨기에","2010","- 천명당 간호사",9.6
"벨기에","2011","의사",32182
"벨기에","2011","- 천명당 의사",2.9
"벨기에","2011","약사",12845
"벨기에","2011","- 천명당 약사",1.2
"벨기에","2011","치과의사",7777
"벨기에","2011","- 천명당 치과의사",0.7
"벨기에","2011","간호사",108258
"벨기에","2011","- 천명당 간호사",9.8
"벨기에","2012","의사",32583
"벨기에","2012","- 천명당 의사",2.9
"벨기에","2012","약사",13027
"벨기에","2012","- 천명당 약사",1.2
"벨기에","2012","치과의사",7869
"벨기에","2012","- 천명당 치과의사",0.7
"벨기에","2012","간호사",111331
"벨기에","2012","- 천명당 간호사",10.0
"벨기에","2013","의사",32999
"벨기에","2013","- 천명당 의사",3.0
"벨기에","2013","약사",13280
"벨기에","2013","- 천명당 약사",1.2
"벨기에","2013","치과의사",7965
"벨기에","2013","- 천명당 치과의사",0.7
"벨기에","2013","간호사",114959
"벨기에","2013","- 천명당 간호사",10.3
"벨기에","2014","의사",33353
"벨기에","2014","- 천명당 의사",3.0
"벨기에","2014","약사",13508
"벨기에","2014","- 천명당 약사",1.2
