국가,연도,직업,수,국가영문,위도,경도
일본,2010,치과의사,98739.0,japan,36.00000000,138.00000000
일본,2010,간호사,1294234.0,japan,36.00000000,138.00000000
일본,2012,의사,292039.0,japan,36.00000000,138.00000000
일본,2012,약사,205716.0,japan,36.00000000,138.00000000
일본,2012,치과의사,99686.0,japan,36.00000000,138.00000000
일본,2012,간호사,1344388.0,japan,36.00000000,138.00000000
일본,2014,의사,300075.0,japan,36.00000000,138.00000000
일본,2014,약사,216077.0,japan,36.00000000,138.00000000
일본,2014,치과의사,100994.0,japan,36.00000000,138.00000000
일본,2014,간호사,1394985.0,japan,36.00000000,138.00000000
일본,2016,의사,308105.0,japan,36.00000000,138.00000000
일본,2016,약사,230186.0,japan,36.00000000,138.00000000
일본,2016,치과의사,101584.0,japan,36.00000000,138.00000000
일본,2016,간호사,1439721.0,japan,36.00000000,138.00000000
일본,2018,의사,315406.0,japan,36.00000000,138.00000000
일본,2018,약사,240371.0,japan,36.00000000,138.00000000
일본,2018,치과의사,101811.0,japan,36.00000000,138.00000000
일본,2018,간호사,1487444.0,japan,36.00000000,138.00000000
캐나다,2000,의사,61748.0,canada,60.00000000,-95.00000000
캐나다,2001,의사,62488.0,canada,60.00000000,-95.00000000
캐나다,2002,의사,63498.0,canada,60.00000000,-95.00000000
캐나다,2003,의사,63780.0,canada,60.00000000,-95.00000000
캐나다,2003,간호사,269154.0,canada,60.00000000,-95.00000000
캐나다,2004,의사,65301.0,canada,60.00000000,-95.00000000
캐나다,2004,간호사,271671.0,canada,60.00000000,-95.00000000
캐나다,2005,의사,66688.0,canada,60.00000000,-95.00000000
캐나다,2005,치과의사,18178.0,canada,60.00000000,-95.00000000
캐나다,2005,간호사,281430.0,canada,60.00000000,-95.00000000
캐나다,2006,의사,67886.0,canada,60.00000000,-95.00000000
캐나다,2006,치과의사,18414.0,canada,60.00000000,-95.00000000
캐나다,2006,간호사,287892.0,canada,60.00000000,-95.00000000
캐나다,2007,의사,69833.0,canada,60.00000000,-95.00000000
캐나다,2007,치과의사,18672.0,canada,60.00000000,-95.00000000
캐나다,2007,간호사,297388.0,canada,60.00000000,-95.00000000
캐나다,2008,의사,71990.0,canada,60.00000000,-95.00000000
캐나다,2008,치과의사,19006.0,canada,60.00000000,-95.00000000
캐나다,2008,간호사,304424.0,canada,60.00000000,-95.00000000
캐나다,2009,의사,75312.0,canada,60.00000000,-95.00000000
캐나다,2009,치과의사,19334.0,canada,60.00000000,-95.00000000
캐나다,2009,간호사,313431.0,canada,60.00000000,-95.00000000
캐나다,2010,의사,77488.0,canada,60.00000000,-95.00000000
캐나다,2010,치과의사,19800.0,canada,60.00000000,-95.00000000
캐나다,2010,간호사,318565.0,canada,60.00000000,-95.00000000
캐나다,2011,의사,80762.0,canada,60.00000000,-95.00000000
캐나다,2011,치과의사,20595.0,canada,60.00000000,-95.00000000
캐나다,2011,간호사,319026.0,canada,60.00000000,-95.00000000
캐나다,2012,의사,83629.0,canada,60.00000000,-95.00000000
캐나다,2012,약사,31637.0,canada,60.00000000,-95.00000000
캐나다,2012,치과의사,21093.0,canada,60.00000000,-95.00000000
캐나다,2012,간호사,326227.0,canada,60.00000000,-95.00000000
캐나다,2013,의사,86406.0,canada,60.00000000,-95.00000000
캐나다,2013,약사,32573.0,canada,60.00000000,-95.00000000
캐나다,2013,치과의사,21529.0,canada,60.00000000,-95.00000000
캐나다,2013,간호사,334570.0,canada,60.00000000,-95.00000000
캐나다,2014,의사,88873.0,canada,60.00000000,-95.00000000
캐나다,2014,약사,33203.0,canada,60.00000000,-95.00000000
캐나다,2014,치과의사,21928.0,canada,60.00000000,-95.00000000
캐나다,2014,간호사,347636.0,canada,60.00000000,-95.00000000
캐나다,2015,의사,91268.0,canada,60.00000000,-95.00000000
캐나다,2015,약사,35238.0,canada,60.00000000,-95.00000000
캐나다,2015,치과의사,22454.0,canada,60.00000000,-95.00000000
캐나다,2015,간호사,353738.0,canada,60.00000000,-95.00000000
캐나다,2016,의사,94643.0,canada,60.00000000,-95.00000000
캐나다,2016,약사,36380.0,canada,60.00000000,-95.00000000
캐나다,2016,치과의사,23060.0,canada,60.00000000,-95.00000000
캐나다,2016,간호사,359473.0,canada,60.00000000,-95.00000000
캐나다,2017,의사,97212.0,canada,60.00000000,-95.00000000
캐나다,2017,약사,37500.0,canada,60.00000000,-95.00000000
캐나다,2017,치과의사,23352.0,canada,60.00000000,-95.00000000
캐나다,2017,간호사,365450.0,canada,60.00000000,-95.00000000
캐나다,2018,의사,100710.0,canada,60.00000000,-95.00000000
캐나다,2018,약사,38291.0,canada,60.00000000,-95.00000000
캐나다,2018,치과의사,24517.0,canada,60.00000000,-95.00000000
캐나다,2018,간호사,368664.0,canada,60.00000000,-95.00000000
캐나다,2019,의사,102853.0,canada,60.00000000,-95.00000000
캐나다,2019,약사,38966.0,canada,60.00000000,-95.00000000
캐나다,2019,치과의사,24590.0,canada,60.00000000,-95.00000000
캐나다,2019,간호사,375319.0,canada,60.00000000,-95.00000000
캐나다,2020,의사,104409.0,canada,60.00000000,-95.00000000
오스트리아,1998,의사,30110.0,austria,47.33333333,13.33333333
오스트리아,1998,약사,4337.0,austria,47.33333333,13.33333333
오스트리아,1998,치과의사,3624.0,austria,47.33333333,13.33333333
오스트리아,1998,간호사,42013.0,austria,47.33333333,13.33333333
오스트리아,1999,의사,30115.0,austria,47.33333333,13.33333333
오스트리아,1999,약사,4439.0,austria,47.33333333,13.33333333
오스트리아,1999,치과의사,3666.0,austria,47.33333333,13.33333333
오스트리아,1999,간호사,43279.0,austria,47.33333333,13.33333333
오스트리아,2000,의사,30871.0,austria,47.33333333,13.33333333
오스트리아,2000,약사,4532.0,austria,47.33333333,13.33333333
오스트리아,2000,치과의사,3722.0,austria,47.33333333,13.33333333
오스트리아,2000,간호사,44426.0,austria,47.33333333,13.33333333
오스트리아,2001,의사,31859.0,austria,47.33333333,13.33333333
오스트리아,2001,약사,4581.0,austria,47.33333333,13.33333333
오스트리아,2001,치과의사,3879.0,austria,47.33333333,13.33333333
오스트리아,2001,간호사,44916.0,austria,47.33333333,13.33333333
오스트리아,2002,의사,32575.0,austria,47.33333333,13.33333333
오스트리아,2002,약사,4704.0,austria,47.33333333,13.33333333
오스트리아,2002,치과의사,3956.0,austria,47.33333333,13.33333333
오스트리아,2002,간호사,45879.0,austria,47.33333333,13.33333333
오스트리아,2003,의사,33410.0,austria,47.33333333,13.33333333
오스트리아,2003,약사,4869.0,austria,47.33333333,13.33333333
오스트리아,2003,치과의사,4037.0,austria,47.33333333,13.33333333
오스트리아,2003,간호사,46147.0,austria,47.33333333,13.33333333
오스트리아,2004,의사,34334.0,austria,47.33333333,13.33333333
오스트리아,2004,약사,4997.0,austria,47.33333333,13.33333333
오스트리아,2004,치과의사,4113.0,austria,47.33333333,13.33333333
오스트리아,2004,간호사,48435.0,austria,47.33333333,13.33333333
오스트리아,2005,의사,35518.0,austria,47.33333333,13.33333333
오스트리아,2005,약사,5076.0,austria,47.33333333,13.33333333
오스트리아,2005,치과의사,4232.0,austria,47.33333333,13.33333333
오스트리아,2005,간호사,49294.0,austria,47.33333333,13.33333333
오스트리아,2006,의사,36792.0,austria,47.33333333,13.33333333
오스트리아,2006,약사,5192.0,austria,47.33333333,13.33333333
오스트리아,2006,치과의사,4467.0,austria,47.33333333,13.33333333
오스트리아,2006,간호사,50808.0,austria,47.33333333,13.33333333
오스트리아,2007,의사,37643.0,austria,47.33333333,13.33333333
오스트리아,2007,약사,5263.0,austria,47.33333333,13.33333333
오스트리아,2007,치과의사,4490.0,austria,47.33333333,13.33333333
오스트리아,2007,간호사,51524.0,austria,47.33333333,13.33333333
오스트리아,2008,의사,38313.0,austria,47.33333333,13.33333333
오스트리아,2008,약사,5326.0,austria,47.33333333,13.33333333
오스트리아,2008,치과의사,4544.0,austria,47.33333333,13.33333333
오스트리아,2008,간호사,52924.0,austria,47.33333333,13.33333333
오스트리아,2009,의사,39123.0,austria,47.33333333,13.33333333
오스트리아,2009,약사,5452.0,austria,47.33333333,13.33333333
오스트리아,2009,치과의사,4619.0,austria,47.33333333,13.33333333
오스트리아,2009,간호사,54018.0,austria,47.33333333,13.33333333
오스트리아,2010,의사,40105.0,austria,47.33333333,13.33333333
오스트리아,2010,약사,5579.0,austria,47.33333333,13.33333333
오스트리아,2010,치과의사,4685.0,austria,47.33333333,13.33333333
오스트리아,2010,간호사,54617.0,austria,47.33333333,13.33333333
오스트리아,2011,의사,40634.0,austria,47.33333333,13.33333333
오스트리아,2011,약사,5700.0,austria,47.33333333,13.33333333
오스트리아,2011,치과의사,4743.0,austria,47.33333333,13.33333333
오스트리아,2011,간호사,55594.0,austria,47.33333333,13.33333333
오스트리아,2012,의사,41268.0,austria,47.33333333,13.33333333
오스트리아,2012,약사,5823.0,austria,47.33333333,13.33333333
오스트리아,2012,치과의사,4797.0,austria,47.33333333,13.33333333
오스트리아,2012,간호사,56085.0,austria,47.33333333,13.33333333
오스트리아,2013,의사,42302.0,austria,47.33333333,13.33333333
오스트리아,2013,약사,5918.0,austria,47.33333333,13.33333333
오스트리아,2013,치과의사,4853.0,austria,47.33333333,13.33333333
오스트리아,2013,간호사,56747.0,austria,47.33333333,13.33333333
오스트리아,2014,의사,43126.0,austria,47.33333333,13.33333333
오스트리아,2014,약사,5999.0,austria,47.33333333,13.33333333
오스트리아,2014,치과의사,4893.0,austria,47.33333333,13.33333333
오스트리아,2014,간호사,58040.0,austria,47.33333333,13.33333333
오스트리아,2015,의사,44002.0,austria,47.33333333,13.33333333
오스트리아,2015,약사,6104.0,austria,47.33333333,13.33333333
오스트리아,2015,치과의사,4906.0,austria,47.33333333,13.33333333
오스트리아,2015,간호사,58732.0,austria,47.33333333,13.33333333
오스트리아,2016,의사,44816.0,austria,47.33333333,13.33333333
오스트리아,2016,약사,6194.0,austria,47.33333333,13.33333333
오스트리아,2016,치과의사,4954.0,austria,47.33333333,13.33333333
오스트리아,2016,간호사,59165.0,austria,47.33333333,13.33333333
오스트리아,2017,의사,45596.0,austria,47.33333333,13.33333333
오스트리아,2017,약사,6246.0,austria,47.33333333,13.33333333
오스트리아,2017,치과의사,5009.0,austria,47.33333333,13.33333333
오스트리아,2017,간호사,60263.0,austria,47.33333333,13.33333333
오스트리아,2018,의사,46337.0,austria,47.33333333,13.33333333
오스트리아,2018,약사,6349.0,austria,47.33333333,13.33333333
오스트리아,2018,치과의사,5027.0,austria,47.33333333,13.33333333
오스트리아,2018,간호사,60694.0,austria,47.33333333,13.33333333
오스트리아,2019,의사,47224.0,austria,47.33333333,13.33333333
오스트리아,2019,약사,6479.0,austria,47.33333333,13.33333333
오스트리아,2019,치과의사,5143.0,austria,47.33333333,13.33333333
오스트리아,2019,간호사,92115.0,austria,47.33333333,13.33333333
오스트리아,2020,의사,47674.0,austria,47.33333333,13.33333333
오스트리아,2020,약사,6516.0,austria,47.33333333,13.33333333
벨기에,1998,의사,38109.0,belgium,50.83333333,4.00000000
벨기에,1998,약사,10087.0,belgium,50.83333333,4.00000000
벨기에,1998,치과의사,8240.0,belgium,50.83333333,4.00000000
벨기에,1999,의사,28642.0,belgium,50.83333333,4.00000000
벨기에,1999,약사,10437.0,belgium,50.83333333,4.00000000
벨기에,1999,치과의사,8326.0,belgium,50.83333333,4.00000000
벨기에,2000,의사,28999.0,belgium,50.83333333,4.00000000
벨기에,2000,약사,10724.0,belgium,50.83333333,4.00000000
벨기에,2000,치과의사,7659.0,belgium,50.83333333,4.00000000
벨기에,2001,의사,29303.0,belgium,50.83333333,4.00000000
벨기에,2001,약사,10939.0,belgium,50.83333333,4.00000000
벨기에,2001,치과의사,7680.0,belgium,50.83333333,4.00000000
벨기에,2002,의사,29537.0,belgium,50.83333333,4.00000000
벨기에,2002,약사,11191.0,belgium,50.83333333,4.00000000
벨기에,2002,치과의사,7685.0,belgium,50.83333333,4.00000000
벨기에,2003,의사,29646.0,belgium,50.83333333,4.00000000
벨기에,2003,약사,11394.0,belgium,50.83333333,4.00000000
벨기에,2003,치과의사,7680.0,belgium,50.83333333,4.00000000
