국가,연도,평균 사망률,평균 의료 인력 수,1인당 보건지출,평균 소비량,평균 판매량,평균 치료비,평균 복지 비용(G$),보건지출-복지비용 비율,보건지출-치료비 비율,보건지출-의약품 소비량 비율,의약품 판매량-의약품 소비량 비율,의료 인력-평균 치료비 비율
그리스,1998,40.6,,,29.60909090909091,2032.8,,2527.0,,,,68.65459011360147,
그리스,1999,40.38285714285715,28452.0,,32.90909090909091,2366.4,,2565.0,,,,71.907182320442,
그리스,2000,40.357142857142854,29704.0,1417.7779541,35.68181818181818,2398.1,,2315.78,0.6122248029173755,,39.73390444611465,67.20789808917198,
그리스,2001,39.39714285714286,32068.0,1678.57568359,37.31818181818182,2807.4,,2533.32,0.6625991519389575,,44.98010357975639,75.2287454323995,
그리스,2002,38.62285714285714,36063.0,1864.49755859,40.24545454545454,3557.4,,2829.92,0.6588516843550347,,46.32815257395528,88.3925909193585,
그리스,2003,38.51714285714286,36319.0,2019.09960938,43.70909090909091,4897.5,506.2733333333333,3674.58,0.5494776571417685,0.2507421283137158,46.19404264388519,112.04762895174709,0.013939627559495947
그리스,2004,37.84,36133.0,2061.64819336,47.11818181818182,6218.8,575.29,4401.150000000001,0.4684339759744611,0.27904372911578723,43.75483335319313,131.98302141616824,0.015921456840007748
그리스,2005,36.39142857142857,36666.0,2194.10546875,31.1,6939.4,625.67,4832.1,0.45406872141511967,0.28515949160659504,70.55001507234726,223.13183279742762,0.017064037527955052
그리스,2006,35.16285714285714,35797.0,2358.68310547,36.9,7703.6,648.6866666666666,5302.02,0.4448649958827013,0.27502069487940256,63.92095136775068,208.769647696477,0.018121257833524224
그리스,2007,34.91428571428571,35658.0,2462.73828125,38.9,10673.5,769.2999999999998,6401.85,0.3846916565133516,0.3123758646450771,63.309467384318765,274.38303341902315,0.02157440125638005
그리스,2008,33.37428571428571,36197.0,2728.05200195,40.4,11437.6,886.1433333333334,7657.200000000001,0.3562727892636995,0.32482640825758524,67.52603965222772,283.1089108910891,0.024481126428525388
그리스,2009,32.425714285714285,37306.0,2859.59790039,37.6,11825.7,898.0100000000001,7886.999999999999,0.3625710536820084,0.3140336618227083,76.05313564867022,314.51329787234044,0.024071463035436662
그리스,2010,30.44857142857143,38422.0,2678.99755859,,,813.3466666666667,7360.64,0.36396258458367753,0.30360112276277856,,,0.021168774833862546
그리스,2011,29.734285714285715,38530.0,2356.13696289,,,705.4,7347.6,0.3206675598685285,0.2993883679558117,,,0.01830781209447184
그리스,2012,30.20285714285714,36883.0,2214.8059082,,,615.4866666666667,6536.7,0.3388263050468891,0.2778964352532725,,,0.016687543493389006
그리스,2013,29.080000000000002,36103.0,2163.44165039,,,570.94,6010.2,0.3599616735532928,0.26390358154428506,,,0.015814198266072072
그리스,2014,29.49142857142857,35223.0,2100.16992188,,,529.8299999999999,5953.09,0.3527865229452267,0.25227958675158735,,,0.01504215995230389
그리스,2015,30.131428571428568,34718.0,2149.34130859,,,441.80333333333334,4960.62,0.43328078115034013,0.20555289733074683,,,0.012725483418783724
그리스,2019,27.913888888888888,36251.0,,,,469.06666666666666,4927.200000000001,,,,,0.012939413165613822
네덜란드,1998,38.73714285714286,,,9.4,2867.2,3920.2033333333334,8891.4,,,,305.02127659574467,
네덜란드,1999,38.39142857142857,,,9.6,3057.7,1182.0433333333333,8759.24,,,,318.5104166666667,
네덜란드,2000,37.31428571428572,,2466.14526367,9.3,2854.9,1085.9733333333334,7911.599999999999,0.3117125819897366,0.4403525410004598,265.176910072043,306.9784946236559,
네덜란드,2001,35.96,,2685.15112305,32.699999999999996,3382.2,1180.8100000000002,8235.92,0.3260292867159953,0.4397555094250136,82.11471324311928,103.43119266055047,
네덜란드,2002,35.559999999999995,126500.0,2987.45800781,34.23636363636364,3870.3,1400.4633333333334,9384.84,0.3183280703570865,0.46878092668487875,87.25979311181624,113.04646840148698,0.011070856389986825
네덜란드,2003,34.68571428571428,129800.0,3095.60424805,38.78,4927.5,1806.5733333333335,11923.28,0.2596269019976047,0.5835931173926189,79.82476142470345,127.06291903042805,0.01391813045711351
네덜란드,2004,32.90285714285714,132400.0,3264.33325195,37.89,5339.5,2066.61,13406.88,0.24348194747398352,0.633087935726378,86.15289659408815,140.921087358142,0.015608836858006044
네덜란드,2005,32.02285714285714,133700.0,3425.68286133,40.17,5599.2,2133.22,13633.49,0.2512696940643958,0.6227138022846022,85.27963309260642,139.38760268857357,0.015955272999252056
네덜란드,2006,30.465714285714284,134100.0,3723.125,40.94,5885.3,2292.1566666666668,12026.12,0.3095865499429575,0.6156539645235297,90.94101123595506,143.7542745481192,0.017092890877454636
네덜란드,2007,29.377142857142857,136000.0,3979.69775391,44.379999999999995,6958.7,2642.22,13305.75,0.29909608657234654,0.6639247911236611,89.67322564015323,156.7981072555205,0.019428088235294117
