"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p)
"기후기술분류별(1)",기후기술분류별(2),기술이전 수행여부 (%),기술이전 수행여부 (%),기술이전 건수 (건),기술료 징수여부 (%),기술료 징수여부 (%),기술료 징수액 (백만원)
"기후기술분류별(1)",기후기술분류별(2),기술이전 수행,기술이전 미수행,소계,기술료 징수,기술료 미징수,소계
"합계",소계,7.2,92.8,10593,5.2,94.8,487771
"감축",소계,7.5,92.5,9830,5.4,94.6,457959
"감축",비재생에너지,12.2,87.8,35,3.6,96.4,250
"감축",재생에너지,10.2,89.8,5079,7.9,92.1,319824
"감축",신에너지,2.9,97.1,195,2.9,97.1,1300
"감축",에너지저장,6.3,93.7,1358,4.2,95.8,18798
"감축",송배전&전력IT,7.8,92.2,297,4.7,95.3,9563
"감축",에너지수요,6.0,94.0,2866,4.1,95.9,108224
"감축",온실가스 고정,0.0,100.0,0,0.0,100.0,0
"적응",소계,5.7,94.3,495,4.1,95.9,25655
"적응",농업&축산,10.6,89.4,448,8.3,91.7,24625
"적응",물관리,2.5,97.5,47,1.6,98.4,1030
"융복합",소계,5.7,94.3,268,5.0,95.0,4156
"융복합",감축 및 적응 융복합,5.7,94.3,268,5.0,95.0,4156
