"기후기술분류별(1)","기후기술분류별(2)","기술이전 방식별(1)",기술이전 방식별(2),시점,데이터
"적응","소계","국외 기술이전",국외 유상기술,2019 p),5
"적응","소계","국외 기술이전",국외 무상기술,2019 p),3
"적응","소계","국외 기술이전",국외 기타,2019 p),-
"적응","농업&축산","국내 기술이전",국내 기술양도,2019 p),28
"적응","농업&축산","국내 기술이전",국내 무상양도,2019 p),3
"적응","농업&축산","국내 기술이전",국내 유상기술,2019 p),6
"적응","농업&축산","국내 기술이전",국내 무상기술,2019 p),1
"적응","농업&축산","국내 기술이전",국내 기타,2019 p),-
"적응","농업&축산","국외 기술이전",국외 기술양도,2019 p),-
"적응","농업&축산","국외 기술이전",국외 무상양도,2019 p),-
"적응","농업&축산","국외 기술이전",국외 유상기술,2019 p),1
"적응","농업&축산","국외 기술이전",국외 무상기술,2019 p),3
"적응","농업&축산","국외 기술이전",국외 기타,2019 p),-
"적응","물관리","국내 기술이전",국내 기술양도,2019 p),2
"적응","물관리","국내 기술이전",국내 무상양도,2019 p),-
"적응","물관리","국내 기술이전",국내 유상기술,2019 p),2
"적응","물관리","국내 기술이전",국내 무상기술,2019 p),-
"적응","물관리","국내 기술이전",국내 기타,2019 p),-
"적응","물관리","국외 기술이전",국외 기술양도,2019 p),-
"적응","물관리","국외 기술이전",국외 무상양도,2019 p),-
"적응","물관리","국외 기술이전",국외 유상기술,2019 p),3
"적응","물관리","국외 기술이전",국외 무상기술,2019 p),-
"적응","물관리","국외 기술이전",국외 기타,2019 p),-
"융복합","소계","국내 기술이전",국내 기술양도,2019 p),8
"융복합","소계","국내 기술이전",국내 무상양도,2019 p),-
"융복합","소계","국내 기술이전",국내 유상기술,2019 p),1
"융복합","소계","국내 기술이전",국내 무상기술,2019 p),2
"융복합","소계","국내 기술이전",국내 기타,2019 p),-
"융복합","소계","국외 기술이전",국외 기술양도,2019 p),-
"융복합","소계","국외 기술이전",국외 무상양도,2019 p),-
"융복합","소계","국외 기술이전",국외 유상기술,2019 p),-
"융복합","소계","국외 기술이전",국외 무상기술,2019 p),-
"융복합","소계","국외 기술이전",국외 기타,2019 p),-
"융복합","감축 및 적응 융복합","국내 기술이전",국내 기술양도,2019 p),8
"융복합","감축 및 적응 융복합","국내 기술이전",국내 무상양도,2019 p),-
"융복합","감축 및 적응 융복합","국내 기술이전",국내 유상기술,2019 p),1
"융복합","감축 및 적응 융복합","국내 기술이전",국내 무상기술,2019 p),2
"융복합","감축 및 적응 융복합","국내 기술이전",국내 기타,2019 p),-
"융복합","감축 및 적응 융복합","국외 기술이전",국외 기술양도,2019 p),-
"융복합","감축 및 적응 융복합","국외 기술이전",국외 무상양도,2019 p),-
"융복합","감축 및 적응 융복합","국외 기술이전",국외 유상기술,2019 p),-
"융복합","감축 및 적응 융복합","국외 기술이전",국외 무상기술,2019 p),-
"융복합","감축 및 적응 융복합","국외 기술이전",국외 기타,2019 p),-
