기관규모,대분류,소분류,연도,매출액,연구개발비
100억 원 미만,적응,농업&축산,2019,450574.0,915236.0
100억 원 미만,적응,농업&축산,2020,522585.0,889776.0
100억 원 이상 500억 원 미만,적응,농업&축산,2020,182436.0,19875.0
"500억 원 이상 1,000억 원 미만",적응,농업&축산,2020,135205.0,430707.0
"1,000억 원 이상 2,000억 원 미만",적응,농업&축산,2020,95554.0,2903.0
100억 원 이상 600억 원 미만,적응,농업&축산,2019,261322.0,58708.0
"600억 원 이상 2,000억 원 미만",적응,농업&축산,2019,239931.0,25037.0
"2,000억 원 이상",적응,농업&축산,2019,2616954.0,349825.0
"2,000억 원 이상",적응,농업&축산,2020,2712690.0,2720.0
기타(공공기관),적응,농업&축산,2019,732521.0,23239.0
기타(공공기관),적응,농업&축산,2020,74126.0,6600.0
100억 원 미만,적응,물관리,2019,968784.0,2221.0
100억 원 미만,적응,물관리,2020,1035412.0,3724151.0
100억 원 이상 500억 원 미만,적응,물관리,2020,1162961.0,3262049.0
"500억 원 이상 1,000억 원 미만",적응,물관리,2020,464110.0,3612385.0
"1,000억 원 이상 2,000억 원 미만",적응,물관리,2020,500916.0,3041863.0
100억 원 이상 600억 원 미만,적응,물관리,2019,1026010.0,35750.0
"600억 원 이상 2,000억 원 미만",적응,물관리,2019,486006.0,2925.0
"2,000억 원 이상",적응,물관리,2019,674267.0,459497.0
"2,000억 원 이상",적응,물관리,2020,7091323.0,373431.0
기타(공공기관),적응,물관리,2019,6340060.0,24189.0
기타(공공기관),적응,물관리,2020,115433.0,96145.0
100억 원 미만,적응,예측?모니터링,2020,26758.0,1653836.0
100억 원 이상 500억 원 미만,적응,예측?모니터링,2020,5781.0,34615.0
"500억 원 이상 1,000억 원 미만",적응,예측?모니터링,2020,,80868.0
"1,000억 원 이상 2,000억 원 미만",적응,예측?모니터링,2020,,1156859.0
"2,000억 원 이상",적응,예측?모니터링,2020,,834127.0
기타(공공기관),적응,예측?모니터링,2020,48717.0,
100억 원 미만,적응,해양수산연안,2020,10923.0,54716.0
100억 원 이상 500억 원 미만,적응,해양수산연안,2020,12061.0,166938.0
"500억 원 이상 1,000억 원 미만",적응,해양수산연안,2020,22389.0,51333.0
"1,000억 원 이상 2,000억 원 미만",적응,해양수산연안,2020,,25000.0
"2,000억 원 이상",적응,해양수산연안,2020,,3383.0
기타(공공기관),적응,해양수산연안,2020,14000.0,141938.0
100억 원 미만,적응,건강,2020,24129.0,
100억 원 이상 500억 원 미만,적응,건강,2020,202122.0,0.0
"500억 원 이상 1,000억 원 미만",적응,건강,2020,94732.0,
"1,000억 원 이상 2,000억 원 미만",적응,건강,2020,22253.0,57050.0
"2,000억 원 이상",적응,건강,2020,43620.0,53248.0
기타(공공기관),적응,건강,2020,,57050.0
100억 원 미만,적응,산림육상,2020,33103.0,2209632.0
100억 원 이상 500억 원 미만,적응,산림육상,2020,18339.0,1926542.0
"500억 원 이상 1,000억 원 미만",적응,산림육상,2020,,1514726.0
"1,000억 원 이상 2,000억 원 미만",적응,산림육상,2020,,1484416.0
"2,000억 원 이상",적응,산림육상,2020,,117954.0
기타(공공기관),적응,산림육상,2020,11631.0,54762.0
100억 원 미만,융복합,감축 및 적응 융복합,2019,98481.0,442062.0
100억 원 미만,융복합,감축 및 적응 융복합,2020,139878.0,172400.0
100억 원 이상 500억 원 미만,융복합,감축 및 적응 융복합,2020,120015.0,0.0
"500억 원 이상 1,000억 원 미만",융복합,감축 및 적응 융복합,2020,158478.0,0.0
"1,000억 원 이상 2,000억 원 미만",융복합,감축 및 적응 융복합,2020,346388.0,0.0
100억 원 이상 600억 원 미만,융복합,감축 및 적응 융복합,2019,198444.0,
"600억 원 이상 2,000억 원 미만",융복합,감축 및 적응 융복합,2019,215383.0,0.0
"2,000억 원 이상",융복합,감축 및 적응 융복합,2019,1275903.0,47.0
"2,000억 원 이상",융복합,감축 및 적응 융복합,2020,1023679.0,64.0
기타(공공기관),융복합,감축 및 적응 융복합,2019,0.0,47.0
기타(공공기관),융복합,감축 및 적응 융복합,2020,0.0,64.0
