"기후기술분류별(1)",기후기술분류별(2),2020,2020,2020,2020,2020,2020
"기후기술분류별(1)",기후기술분류별(2),국내 공공기술의 기술이전 적합 방안 (건),국내 공공기술의 기술이전 적합 방안 (건),국내 공공기술의 기술이전 적합 방안 (건),국내 공공기술의 기술이전 적합 방안 (건),국내 공공기술의 기술이전 적합 방안 (건),국내 공공기술의 기술이전 적합 방안 (건)
"기후기술분류별(1)",기후기술분류별(2),사례수,기술양도,무상양도,유상기술,무상기술,기타
"합계",소계,7604,2008,4960,1415,2192,21
"감축",소계,6012,1666,3845,1102,1735,13
"감축",비재생에너지,78,1,66,17,0,0
"감축",재생에너지,2064,555,1040,360,587,7
"감축",신에너지,148,112,96,22,18,0
"감축",에너지저장,464,81,332,125,151,0
"감축",송배전&전력IT,424,268,305,38,45,0
"감축",에너지수요,2790,649,1972,526,932,6
"감축",온실가스 고정,45,0,35,13,0,0
"적응",소계,1432,301,1010,290,426,5
"적응",농업&축산,533,70,396,65,164,5
"적응",물관리,721,204,486,137,250,0
"적응",예측?모니터링,27,1,17,17,0,0
"적응",해양수산연안,58,1,53,34,6,0
"적응",건강,48,4,22,33,0,0
"적응",산림육상,45,21,35,3,7,0
"융복합",소계,159,41,105,23,31,4
"융복합",감축 및 적응 융복합,159,41,105,23,31,4
